Color_Name,Color_Family,R,G,B
indianred,Red,205,92,92
lightcoral,Red,240,128,128
salmon,Red,250,128,114
darksalmon,Red,233,150,122
lightsalmon,Pink,255,160,122
crimson,Red,220,20,60
red,Red,255,0,0
firebrick,Red,178,34,34
darkred,Red,139,0,0
pink,Pink,255,192,203
lightpink,Pink,255,182,193
hotpink,Pink,255,105,180
deeppink,Pink,255,20,147
mediumvioletred,Pink,199,21,133
palevioletred,Pink,219,112,147
coral,Orange,255,127,80
tomato,Orange,255,99,71
orangered,Orange,255,69,0
darkorange,Orange,255,140,0
orange,Orange,255,165,0
gold,Yellow,255,215,0
yellow,Yellow,255,255,0
lightyellow,Yellow,255,255,224
lemonchiffon,Yellow,255,250,205
lightgoldenrodyellow,Yellow,250,250,210
papayawhip,Yellow,255,239,213
moccasin,Yellow,255,228,181
peachpuff,Yellow,255,218,185
palegoldenrod,Yellow,238,232,170
khaki,Yellow,240,230,140
darkkhaki,Yellow,189,183,107
lavender,Purple,230,230,250
thistle,Purple,216,191,216
plum,Purple,221,160,221
violet,Purple,238,130,238
orchid,Purple,218,112,214
fuchsia,Purple,255,0,255
magenta,Purple,255,0,255
mediumorchid,Purple,186,85,211
mediumpurple,Purple,147,112,219
rebeccapurple,Purple,102,51,153
blueviolet,Purple,138,43,226
darkviolet,Purple,148,0,211
darkorchid,Purple,153,50,204
darkmagenta,Purple,139,0,139
purple,Purple,128,0,128
indigo,Purple,75,0,130
slateblue,Purple,106,90,205
darkslateblue,Purple,72,61,139
mediumslateblue,Purple,123,104,238
greenyellow,Green,173,255,47
chartreuse,Green,127,255,0
lawngreen,Green,124,252,0
lime,Green,0,255,0
limegreen,Green,50,205,50
palegreen,Green,152,251,152
lightgreen,Green,144,238,144
mediumspringgreen,Green,0,250,154
springgreen,Green,0,255,127
mediumseagreen,Green,60,179,113
seagreen,Green,46,139,87
forestgreen,Green,34,139,34
green,Green,0,128,0
darkgreen,Green,0,100,0
yellowgreen,Green,154,205,50
olivedrab,Green,107,142,35
olive,Green,128,128,0
darkolivegreen,Green,85,107,47
mediumaquamarine,Green,102,205,170
darkseagreen,Green,143,188,143
lightseagreen,Green,32,178,170
darkcyan,Green,0,139,139
teal,Green,0,128,128
aqua,Blue,0,255,255
cyan,Blue,0,255,255
lightcyan,Blue,224,255,255
paleturquoise,Blue,175,238,238
aquamarine,Blue,127,255,212
turquoise,Blue,64,224,208
mediumturquoise,Blue,72,209,204
darkturquoise,Blue,0,206,209
cadetblue,Blue,95,158,160
steelblue,Blue,70,130,180
lightsteelblue,Blue,176,196,222
powderblue,Blue,176,224,230
lightblue,Blue,173,216,230
skyblue,Blue,135,206,235
lightskyblue,Blue,135,206,250
deepskyblue,Blue,0,191,255
dodgerblue,Blue,30,144,255
cornflowerblue,Blue,100,149,237
royalblue,Blue,65,105,225
blue,Blue,0,0,255
mediumblue,Blue,0,0,205
darkblue,Blue,0,0,139
navy,Blue,0,0,128
midnightblue,Blue,25,25,112
cornsilk,Brown,255,248,220
blanchedalmond,Brown,255,235,205
bisque,Brown,255,228,196
navajowhite,Brown,255,222,173
wheat,Brown,245,222,179
burlywood,Brown,222,184,135
tan,Brown,210,180,140
rosybrown,Brown,188,143,143
sandybrown,Brown,244,164,96
goldenrod,Brown,218,165,32
darkgoldenrod,Brown,184,134,11
peru,Brown,205,133,63
chocolate,Brown,210,105,30
saddlebrown,Brown,139,69,19
sienna,Brown,160,82,45
brown,Brown,165,42,42
maroon,Brown,128,0,0
white,White,255,255,255
snow,White,255,250,250
honeydew,White,240,255,240
mintcream,White,245,255,250
azure,White,240,255,255
aliceblue,White,240,248,255
ghostwhite,White,248,248,255
whitesmoke,White,245,245,245
seashell,White,255,245,238
beige,White,245,245,220
oldlace,White,253,245,230
floralwhite,White,255,250,240
ivory,White,255,255,240
antiquewhite,White,250,235,215
linen,White,250,240,230
lavenderblush,White,255,240,245
mistyrose,White,255,228,225
darkgrey,Gray,169,169,169
dimgrey,Gray,105,105,105
grey,Gray,128,128,128
lightgrey,Gray,211,211,211
darkslategrey,Gray,47,79,79
lightslategrey,Gray,119,136,153
slategrey,Gray,112,128,144
black,Black,0,0,0
