Color,R,G,B
Red,215.0,69.0,68.75
Pink,241.85714285714286,113.14285714285714,160.71428571428572
Orange,255.0,120.0,30.2
Yellow,245.63636363636363,232.27272727272728,148.63636363636363
Purple,165.78947368421052,74.6842105263158,202.73684210526315
Green,72.21739130434783,187.8695652173913,77.82608695652173
Blue,76.75,160.29166666666666,214.75
Brown,208.11764705882354,150.35294117647058,101.70588235294117
White,249.47058823529412,246.7058823529412,240.47058823529412
Gray,127.28571428571429,136.57142857142858,141.28571428571428
Black,0.0,0.0,0.0
